,Product,Price,Link,Image
0,OCC 415O,4543000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=182,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/c-br415o-228x228.jpg
1,OCC 450,4708000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=346,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/Sc740%20(3)-228x228.png
2,OCC 515O,4653000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=185,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/c-br515o-228x228.jpg
3,OCC 603G,7084000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=189,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/sc603g-br-228x228.jpg
4,OCC 666,5126000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=343,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/sc666-2-228x228.jpg
5,OCC 700G,6457000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=180,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/c-700g%20br-228x228.jpg
6,OCC 708G,7183000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=188,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/SC708G-BR1-228x228.jpg
7,OCC 712P,6853000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=178,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/c-br712-228x228.jpg
8,OCC 740,5478000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=190,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/SC740U-228x228.jpg
9,OCC 810Fi,8393000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=175,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/occ-810f-228x228.png
10,OCC 810K,11165000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=174,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/c810kbr-228x228.jpg
11,OCC 825,7909000.0,https://store.nilper.ir/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C?product_id=187,https://store.nilper.ir/image/cache/catalog/Product%20picture/Office%20Chair/sc825brr-228x228.jpg
